K2\s;0;0.1;0.4;0.7;1;1.3;1.6;1.9;2.2;2.5;2.8;3.1;3.4;3.7;4;4.3;4.6;4.9;5.2;5.5;5.8;6.1;6.4;6.7;7;7.3;7.6;7.9;8.2;8.5;8.8;9.1;9.4;9.7;10;10.3;10.6;10.9;11.2;11.5;11.8;12.1;12.4;12.7;13;13.3;13.6;13.9;14.2;14.5;14.8;15;17;19;21;23;25;27;29;31;33;35;37;39;41;43;45;47;49;51;53;55;57;59;61;63;65;67;69;71;73;75;77;79;81;83;85;87;89;91;93;95;97;99;100
1;.95;.38;.22;.17;.14;.12;.11;.10;.09;.08;.08;.07;.07;.07;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00
2;.95;.70;.50;.39;.32;.27;.24;.21;.18;.17;.15;.14;.13;.12;.11;.11;.10;.10;.09;.09;.08;.08;.08;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00
3;.95;.83;.64;.52;.43;.36;.31;.27;.24;.22;.20;.18;.17;.16;.15;.14;.13;.12;.12;.11;.11;.10;.10;.09;.09;.09;.08;.08;.08;.08;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01
4;.95;.90;.74;.61;.51;.44;.38;.33;.30;.27;.24;.22;.20;.19;.18;.17;.16;.15;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.04;.04;.04;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01
5;.95;.92;.80;.68;.58;.50;.44;.38;.34;.31;.28;.26;.24;.22;.21;.20;.18;.18;.17;.16;.15;.15;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.05;.05;.04;.04;.04;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01
6;.95;.94;.85;.74;.64;.56;.49;.44;.39;.35;.32;.30;.27;.26;.24;.22;.21;.20;.19;.18;.17;.16;.16;.15;.15;.14;.13;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.06;.06;.05;.05;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01;.01
7;.95;.94;.88;.79;.69;.61;.54;.48;.43;.39;.36;.33;.31;.29;.27;.25;.24;.23;.21;.20;.19;.19;.18;.17;.16;.16;.15;.15;.14;.14;.13;.13;.12;.12;.12;.11;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.07;.06;.06;.05;.05;.05;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01;.01;.01;.01
8;.95;.95;.90;.82;.73;.65;.58;.52;.47;.43;.39;.36;.34;.31;.29;.27;.26;.25;.23;.22;.21;.20;.19;.19;.18;.17;.17;.16;.15;.15;.14;.14;.14;.13;.13;.12;.12;.12;.11;.11;.11;.11;.10;.10;.10;.10;.10;.09;.09;.09;.09;.09;.08;.07;.06;.06;.05;.05;.05;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01;.01;.01
9;.95;.95;.92;.85;.77;.69;.62;.56;.51;.47;.43;.40;.37;.34;.32;.30;.29;.27;.26;.24;.23;.22;.21;.20;.20;.19;.18;.17;.17;.16;.16;.15;.15;.14;.14;.14;.13;.13;.12;.12;.12;.12;.11;.11;.11;.11;.10;.10;.10;.10;.10;.09;.08;.07;.07;.06;.06;.05;.05;.05;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.01;.01;.01;.01
